YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL_REV,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,CARRIER_GROUP,ASM,RPM,LOAD_FACTOR,YIELD,RASM,CASM,PRASM
1995,1,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,1,3817,3741,187050000,404028,146453,134388,1086915,31514,279840,243706,-1811000,-1888000,11050000,248000,86000,74000,13000,104000,104000,,,,10000,,37000,11534000,5085000,1909000,,,,,6297000,123000,9000,13422000,-7000,85000,,,,,78000,-1811000,,-1811000,,,,,,1,12732538392,4615319842,0.36,0.0000023941,0.0000009059,0.0000010542,0.0000008678
1995,1,HA,19690,Hawaiian Airlines Inc.,5375,D,HA,Hawaiian Airlines Inc.,2,14561,14029,515029071,2096931,1172030,11162183,2497731,86580,731488,555806,-9334000,-8591000,61324000,585000,2836000,2599000,237000,3567000,3567000,,,,1307000,,1056000,70674000,23739000,17248000,8436000,12694000,9496000,5718000,,1741000,194000,79266000,-893000,-117000,,48000,,219000,-743000,-9334000,,-9334000,,,,,,2,181552285980,101474357400,0.56,0.0000006043,0.0000003893,0.0000004366,0.0000003378
1995,1,HA,19690,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,2,85,80,7064000,24320,14569,129852,193764,31980,25189,23548,1040000,1054000,4277000,304000,199000,153000,47000,,,,,,39000,,15000,4834000,550000,533000,624000,848000,703000,423000,,84000,14000,3779000,,,,,,-14000,-14000,1040000,,1040000,,,,,,2,777753600,465916620,0.60,0.0000091789,0.0000062151,0.0000048595,0.0000054986
1995,1,NK,20416,Spirit Air Lines,6830,D,NK,Spirit Air Lines,1,1505,1504,36096000,180480,149647,0,0,57090,214332,183450,866000,1506000,12414000,,,,,,,,,,282000,,,12696000,6780000,1770000,,,,,1313000,239000,1088000,11190000,-214000,30000,,,,,-184000,1322000,456000,866000,,,,,,1,10303603200,8543347230,0.83,0.0000014531,0.0000012322,0.0000010861,0.0000012048
1995,1,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,180527,176633,6562765880,25305603,15965142,144732684,163217012,3956649,23508235,20087823,-16650000,11730000,1873015000,35694000,38441000,34788000,3653000,3357000,3357000,,,22670000,6043000,,160625000,2139845000,623309000,297962000,233800000,366278000,365856000,64034000,,108735000,68141000,2128115000,-51426000,1931000,-4542000,997000,,12503000,-40537000,-28807000,-12157000,-16650000,,,,,,3,100125388804347,63168463129158,0.63,0.0000000297,0.0000000214,0.0000000213,0.0000000187
1995,1,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,3,3239,3218,233528000,691797,464311,39739063,4869597,647286,1658288,1577498,-18727000,-26116000,196511000,4046000,19921000,19467000,454000,,,,,11000,609000,,14713000,235811000,68609000,23835000,38607000,45703000,43860000,18789000,,14048000,8476000,261927000,-7941000,293000,-699000,151000,,1912000,-6284000,-32400000,-13673000,-18727000,,,,,,3,447790512942,300542009946,0.67,0.0000006539,0.0000005266,0.0000005849,0.0000004388
1995,1,UA,19977,United Air Lines Inc.,10876,L,UA,United Air Lines Inc.,3,3510,3517,183245160,647487,420343,17435769,1004075,391415,1170027,1090484,5838000,13755000,152882000,961000,11229000,10928000,301000,2225000,2225000,,,7000,568000,,9319000,177191000,44980000,13456000,20969000,20434000,36123000,14612000,,8013000,4849000,163436000,-4608000,170000,-407000,88000,,1102000,-3655000,10100000,4262000,5838000,,,,,,3,253436124105,164528555345,0.65,0.0000009292,0.0000006992,0.0000006449,0.0000006032
1995,1,UA,19977,United Air Lines Inc.,10877,P,UA,United Air Lines Inc.,3,3533,3531,411919200,1352375,921609,45021379,7381643,991337,2274094,2181372,12611000,39025000,651964000,9432000,60733000,59323000,1410000,3202000,3202000,,,31000,1399000,,40222000,766983000,220660000,79599000,110491000,82033000,144440000,36736000,,32671000,21328000,727958000,-21727000,803000,-1907000,408000,,5217000,-17206000,21819000,9208000,12611000,,,,,,3,1340659375375,913625101233,0.68,0.0000007136,0.0000005721,0.0000005430,0.0000004863
1995,1,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,166996,163681,5519648340,21483292,12899284,31716756,40002652,1263655,11963767,10032931,11826000,23123000,596828000,6044000,9093000,8842000,251000,2581000,2581000,,,,4041000,,2412000,620999000,196845000,68008000,41695000,100698000,102689000,49558000,,35900000,2483000,597876000,-13511000,8311000,-33000,-7000,,2151000,-3089000,20034000,8208000,11826000,,,,,,3,27147469352260,16300244723020,0.60,0.0000000366,0.0000000229,0.0000000220,0.0000000220
1995,2,AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,179735,175050,7200523985,25779634,17156361,184364670,120496492,3193923,27197766,22995681,114314000,309496000,2386614000,26717000,58518000,53672000,4846000,840000,840000,,,,13842000,,307535000,2794066000,650140000,265286000,275103000,484439000,449062000,141899000,,208861000,9780000,2484570000,-117620000,2685000,,-492000,,3646000,-111781000,197715000,83401000,114314000,,,,,,3,82338165964182,54796095994203,0.67,0.0000000436,0.0000000339,0.0000000302,0.0000000290
1995,2,AA,19805,American Airlines Inc.,10049,A,AA,American Airlines Inc.,3,6220,6201,494896294,1267827,953094,91729662,7981174,1048086,3167366,2983512,36822000,64766000,452934000,5485000,44224000,42862000,1362000,,,,,,2725000,,36666000,542034000,102396000,34508000,77982000,106740000,93016000,20027000,,36256000,6343000,477268000,-8540000,195000,,-36000,,265000,-8116000,56650000,19828000,36822000,,,,,,3,1328791729122,998924478084,0.75,0.0000004534,0.0000004079,0.0000003592,0.0000003409
1995,2,AA,19805,American Airlines Inc.,10050,L,AA,American Airlines Inc.,3,22479,22294,1181387986,4133249,2469439,64887429,5195511,907275,4163168,3600193,25267000,58077000,476364000,2129000,33777000,31432000,2345000,775000,775000,,,,3826000,,24311000,541182000,133284000,39732000,61762000,95939000,98768000,16368000,,34883000,2369000,483105000,-20208000,461000,,-85000,,628000,-19204000,38873000,13606000,25267000,,,,,,3,3749993486475,2240460268725,0.60,0.0000002126,0.0000001443,0.0000001288,0.0000001270
1995,2,AA,19805,American Airlines Inc.,10052,P,AA,American Airlines Inc.,3,519,517,52079925,126143,90129,12063048,897488,122492,324182,310315,14781000,23477000,78239000,1287000,12142000,11931000,211000,,,,,,157000,,7034000,98859000,13164000,4035000,10864000,14463000,21536000,3661000,,7084000,575000,75382000,-775000,18000,,-3000,,23000,-737000,22740000,7959000,14781000,,,,,,3,15451508356,11040081468,0.71,0.0000070868,0.0000063980,0.0000048786,0.0000050635
1995,2,AS,19930,Alaska Airlines Inc.,6031,D,AS,Alaska Airlines Inc.,3,33900,33676,1152659560,4394834,2610489,37868133,13321483,451315,3942287,3413517,6654000,19695000,227456000,4416000,16301000,15755000,546000,3059000,1789000,1270000,,2117000,3431000,390000,22464000,279634000,95693000,20793000,27045000,44620000,40819000,11514000,,13776000,5679000,259939000,-9521000,-225000,,-686000,,2452000,-7980000,11715000,5061000,6654000,,,,,,3,1983454506710,1178152843035,0.59,0.0000001931,0.0000001410,0.0000001311,0.0000001147
1995,2,AS,19930,Alaska Airlines Inc.,16031,L,AS,Alaska Airlines Inc.,3,1412,1412,49707860,197680,146528,710257,713,71728,222515,197900,1937000,3844000,17970000,,542000,216000,326000,,,,,169000,273000,,,18954000,5282000,1076000,1590000,2425000,3208000,685000,,844000,,15110000,-567000,-13000,,,,146000,-434000,3410000,1473000,1937000,,,,,,3,14179191040,10510160384,0.74,0.0000017098,0.0000013367,0.0000010656,0.0000012674
1995,2,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,227419,225600,9093182265,35718068,21304640,173962321,193645922,3876056,25011408,20432820,233320000,413002000,2363426000,32592000,52291000,48970000,3321000,2104000,2104000,,,,32669000,,50675000,2533757000,659000000,182660000,223961000,403561000,447841000,74680000,,122063000,6989000,2120755000,-49861000,-2087000,,157000,,16553000,-35238000,377764000,144444000,233320000,,,,,,3,138445231779808,82577977699840,0.60,0.0000000286,0.0000000183,0.0000000153,0.0000000171
1995,2,DL,19790,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,2858,2839,129653480,489108,311056,5979094,502503,120176,472966,410475,2355000,4242000,44644000,304000,2469000,2292000,177000,,,,,,45000,,3526000,50988000,13834000,4265000,4740000,7513000,7064000,1455000,,2963000,4912000,46746000,-833000,-41000,,4000,,426000,-444000,3798000,1443000,2355000,,,,,,3,58779043008,37381465856,0.64,0.0000011943,0.0000008675,0.0000007953,0.0000007595
1995,2,DL,19790,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,5889,5859,430337370,1293554,1034835,55914345,5214593,1225375,3038035,2864981,22857000,42254000,504368000,4971000,37444000,35857000,1587000,759000,759000,,,,1090000,,58909000,607541000,150945000,40643000,72958000,115949000,76677000,17808000,,25859000,64448000,565287000,-10178000,-497000,,67000,,5207000,-5401000,36853000,13996000,22857000,,,,,,3,1585088732750,1268060938125,0.80,0.0000003977,0.0000003833,0.0000003566,0.0000003182
1995,2,DL,19790,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,907,906,80993920,230470,149539,14385462,666007,222505,586834,563882,-7632000,-11095000,88071000,763000,12555000,12403000,152000,,,,,,80000,,2409000,103878000,39722000,7190000,13625000,16413000,25739000,3999000,,4575000,3710000,114973000,-2286000,-111000,,12000,,1170000,-1215000,-12310000,-4678000,-7632000,,,,,,3,51280727350,33273175195,0.65,0.0000026469,0.0000020257,0.0000022420,0.0000017174
1995,2,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,1,3769,3689,184250000,397980,148814,183026,1136038,29397,274824,234908,-1856000,-2059000,12349000,231000,83000,68000,15000,,,,,73000,89000,,40000,12865000,5354000,2632000,,,,,6803000,127000,8000,14924000,-6000,109000,,,,100000,203000,-1856000,,-1856000,,,,,,1,11699418060,4374685158,0.37,0.0000028227,0.0000010996,0.0000012756,0.0000010555
1995,2,HA,19690,Hawaiian Airlines Inc.,5375,D,HA,Hawaiian Airlines Inc.,2,15034,14651,542272897,2202789,1223060,13842916,2200021,86554,789528,603513,-2271000,-1350000,68911000,596000,3472000,3209000,263000,5180000,5180000,,,,1080000,,918000,80156000,25010000,19002000,8971000,12682000,10151000,3718000,,1767000,205000,81506000,-820000,-209000,,-44000,,152000,-921000,-2271000,,-2271000,,,,,,2,190660199106,105860735240,0.56,0.0000006510,0.0000004204,0.0000004275,0.0000003614
